epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.063,0.75139,1.83171,1.1077,0.82061,0.77495,0.81448,0.66088,0.70436,1.5386,1.0199,0.000416359,0.000416359,0.000416359
2,213.601,0.68952,1.10878,1.05865,0.94194,0.8367,0.916,0.76356,0.65159,0.91417,0.95786,0.000816532,0.000816532,0.000816532
3,312.055,0.66511,0.93085,1.04509,0.92965,0.87432,0.94405,0.7852,0.63721,0.74652,0.95377,0.0012002,0.0012002,0.0012002
4,413.119,0.63956,0.84284,1.02653,0.95802,0.88589,0.95097,0.80361,0.61822,0.66185,0.93667,0.00117575,0.00117575,0.00117575
5,513.224,0.60964,0.7592,1.0122,0.90706,0.8875,0.94603,0.80029,0.61216,0.68018,0.91922,0.001151,0.001151,0.001151
6,612.778,0.58286,0.70953,0.99368,0.92988,0.9372,0.96391,0.82782,0.58065,0.56571,0.88968,0.00112625,0.00112625,0.00112625
7,711.062,0.56505,0.67724,0.9825,0.92625,0.94878,0.97128,0.85001,0.54384,0.52031,0.86878,0.0011015,0.0011015,0.0011015
8,809.128,0.54475,0.635,0.97403,0.94438,0.92514,0.9669,0.84137,0.54975,0.49449,0.86659,0.00107675,0.00107675,0.00107675
9,906.951,0.53991,0.61645,0.97501,0.92523,0.96011,0.97147,0.8443,0.55055,0.47777,0.87023,0.001052,0.001052,0.001052
10,1004.72,0.52892,0.594,0.96826,0.93186,0.9647,0.97399,0.86291,0.52403,0.45773,0.85759,0.00102725,0.00102725,0.00102725
11,1102.48,0.51222,0.57142,0.95688,0.94478,0.94708,0.97386,0.86344,0.52305,0.44498,0.86158,0.0010025,0.0010025,0.0010025
12,1199.91,0.5163,0.56112,0.9606,0.95343,0.9455,0.97535,0.86657,0.51426,0.4423,0.86538,0.00097775,0.00097775,0.00097775
13,1297.8,0.4916,0.54504,0.94747,0.95799,0.94143,0.97449,0.86126,0.51478,0.4365,0.86307,0.000953,0.000953,0.000953
14,1397.31,0.4977,0.53621,0.95291,0.9493,0.95528,0.97514,0.86356,0.50734,0.43029,0.84575,0.00092825,0.00092825,0.00092825
15,1497.03,0.48234,0.51771,0.94797,0.94692,0.96507,0.97938,0.87108,0.50935,0.41765,0.84454,0.0009035,0.0009035,0.0009035
16,1596.83,0.47692,0.512,0.94135,0.95641,0.94874,0.9785,0.87583,0.47744,0.39994,0.82634,0.00087875,0.00087875,0.00087875
17,1697.18,0.47117,0.50203,0.93976,0.94311,0.95498,0.97118,0.86752,0.48461,0.48872,0.83251,0.000854,0.000854,0.000854
18,1798.4,0.46389,0.4889,0.93703,0.95699,0.94755,0.97774,0.87255,0.48688,0.40024,0.83742,0.00082925,0.00082925,0.00082925
19,1897.51,0.46703,0.4906,0.93768,0.96356,0.94992,0.97633,0.87345,0.48976,0.43207,0.84036,0.0008045,0.0008045,0.0008045
20,1997.04,0.4594,0.47625,0.93328,0.95271,0.95729,0.98074,0.87845,0.47784,0.37802,0.84194,0.00077975,0.00077975,0.00077975
21,2098.49,0.44745,0.4618,0.92745,0.9621,0.95395,0.97753,0.87938,0.47423,0.37019,0.83391,0.000755,0.000755,0.000755
22,2197.59,0.44646,0.46576,0.92979,0.96072,0.94911,0.97754,0.87694,0.4844,0.42216,0.83959,0.00073025,0.00073025,0.00073025
23,2296.41,0.44181,0.45059,0.92703,0.96872,0.94985,0.97798,0.8795,0.46945,0.40477,0.83526,0.0007055,0.0007055,0.0007055
24,2394.7,0.44358,0.44831,0.92745,0.96023,0.95762,0.98071,0.88123,0.47157,0.3856,0.82684,0.00068075,0.00068075,0.00068075
25,2496.02,0.43576,0.43885,0.92383,0.95248,0.96592,0.98071,0.88736,0.47196,0.42545,0.83617,0.000656,0.000656,0.000656
26,2601.32,0.4308,0.43704,0.92093,0.96057,0.95915,0.97832,0.88041,0.46566,0.37059,0.82859,0.00063125,0.00063125,0.00063125
27,2701.45,0.42477,0.42625,0.91919,0.96373,0.96072,0.98121,0.88632,0.4568,0.38313,0.81855,0.0006065,0.0006065,0.0006065
28,2801,0.42415,0.42296,0.91894,0.95774,0.96252,0.9811,0.89088,0.4545,0.35693,0.82999,0.00058175,0.00058175,0.00058175
29,2902.31,0.41573,0.41896,0.9164,0.9611,0.96317,0.98159,0.89109,0.45724,0.3587,0.83255,0.000557,0.000557,0.000557
30,3001.91,0.41233,0.41649,0.91392,0.96448,0.96463,0.98162,0.89012,0.44583,0.36212,0.81517,0.00053225,0.00053225,0.00053225
31,3105.1,0.40878,0.41154,0.91354,0.96487,0.96253,0.98154,0.88951,0.44654,0.35385,0.82063,0.0005075,0.0005075,0.0005075
32,3206.59,0.40525,0.40217,0.91201,0.97145,0.95726,0.98239,0.88943,0.44566,0.33058,0.81646,0.00048275,0.00048275,0.00048275
33,3308.62,0.4005,0.398,0.91077,0.97357,0.95522,0.98308,0.88972,0.46255,0.33823,0.83041,0.000458,0.000458,0.000458
34,3408.62,0.39901,0.3944,0.91005,0.96465,0.96569,0.98313,0.89033,0.46272,0.33747,0.8399,0.00043325,0.00043325,0.00043325
35,3510.58,0.39797,0.38857,0.9105,0.96561,0.97026,0.98252,0.89182,0.44541,0.36612,0.82158,0.0004085,0.0004085,0.0004085
36,3612.25,0.38863,0.37922,0.90566,0.96972,0.96522,0.98205,0.89276,0.44708,0.33388,0.82444,0.00038375,0.00038375,0.00038375
37,3712.2,0.38598,0.37474,0.90265,0.96236,0.96858,0.98306,0.89342,0.43389,0.3227,0.8108,0.000359,0.000359,0.000359
38,3811.92,0.38085,0.36903,0.90298,0.96374,0.9723,0.98222,0.89492,0.44302,0.3581,0.82184,0.00033425,0.00033425,0.00033425
39,3933.41,0.38027,0.36805,0.90442,0.96524,0.96817,0.98296,0.89766,0.42986,0.31327,0.81349,0.0003095,0.0003095,0.0003095
40,4035.1,0.37558,0.3652,0.8978,0.96343,0.96909,0.98296,0.89698,0.43607,0.31947,0.81557,0.00028475,0.00028475,0.00028475
41,4145.31,0.41437,0.28784,0.88437,0.95942,0.97318,0.98422,0.89747,0.43138,0.31044,0.80733,0.00026,0.00026,0.00026
42,4244.73,0.40588,0.27877,0.88092,0.9629,0.97182,0.98242,0.89435,0.43018,0.3076,0.81116,0.00023525,0.00023525,0.00023525
43,4344.88,0.40048,0.2689,0.8779,0.97018,0.96853,0.98343,0.89786,0.42932,0.30381,0.80745,0.0002105,0.0002105,0.0002105
44,4443.9,0.38938,0.26015,0.87357,0.96781,0.97064,0.98416,0.90191,0.42341,0.3024,0.80507,0.00018575,0.00018575,0.00018575
45,4542.78,0.38437,0.25863,0.87221,0.96638,0.96881,0.98411,0.90025,0.42304,0.30052,0.80336,0.000161,0.000161,0.000161
46,4642.93,0.38133,0.25362,0.87005,0.9668,0.97149,0.9842,0.90034,0.4219,0.29638,0.80434,0.00013625,0.00013625,0.00013625
47,4744.26,0.37729,0.2452,0.86737,0.96896,0.9714,0.98399,0.90177,0.42068,0.29776,0.80659,0.0001115,0.0001115,0.0001115
48,4845.2,0.37047,0.24246,0.8676,0.97214,0.9658,0.98358,0.9011,0.41784,0.29725,0.80331,8.675e-05,8.675e-05,8.675e-05
49,4946.04,0.36584,0.23724,0.86437,0.96894,0.97001,0.98206,0.90017,0.41611,0.29155,0.8024,6.2e-05,6.2e-05,6.2e-05
50,5045.35,0.36474,0.23438,0.86344,0.96892,0.96987,0.98248,0.90085,0.41614,0.29171,0.80219,3.725e-05,3.725e-05,3.725e-05
