epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.069,0.56253,0.61615,1.00454,0.96999,0.95205,0.98155,0.86952,0.496,0.37225,0.85128,0.000333087,0.000333087,0.0670244
2,236.719,0.53048,0.57129,0.989,0.95842,0.96736,0.97973,0.87744,0.49505,0.35943,0.85311,0.000644429,0.000644429,0.0340024
3,346.932,0.51312,0.54275,0.97782,0.96047,0.95762,0.9781,0.85622,0.52631,0.39553,0.87497,0.00093377,0.00093377,0.00095837
4,526.195,0.51667,0.544,0.98272,0.95851,0.96935,0.9816,0.87703,0.48442,0.36484,0.84817,0.000901,0.000901,0.000901
5,701.637,0.50606,0.53689,0.97178,0.9547,0.9657,0.98015,0.87037,0.50239,0.36043,0.8555,0.000868,0.000868,0.000868
6,879.417,0.50736,0.5329,0.97528,0.96428,0.96176,0.97909,0.87763,0.48065,0.36002,0.8322,0.000835,0.000835,0.000835
7,1052.3,0.49828,0.51726,0.97196,0.96714,0.96,0.98182,0.88859,0.4785,0.36273,0.83805,0.000802,0.000802,0.000802
8,1191.36,0.49274,0.51751,0.96686,0.97252,0.95273,0.97996,0.88227,0.49952,0.35379,0.85661,0.000769,0.000769,0.000769
9,1298.66,0.48857,0.5116,0.96554,0.96152,0.96692,0.98201,0.88246,0.48995,0.3419,0.85598,0.000736,0.000736,0.000736
10,1402.35,0.48745,0.50271,0.96338,0.96068,0.968,0.98453,0.88323,0.49326,0.35331,0.85444,0.000703,0.000703,0.000703
11,1505.98,0.47065,0.48721,0.95707,0.95367,0.96961,0.98323,0.88344,0.48178,0.34916,0.84512,0.00067,0.00067,0.00067
12,1610.41,0.4699,0.48708,0.95507,0.96925,0.95701,0.97896,0.88037,0.49299,0.35866,0.85225,0.000637,0.000637,0.000637
13,1715.23,0.47285,0.48374,0.95632,0.96462,0.96061,0.98149,0.88913,0.47689,0.34079,0.85178,0.000604,0.000604,0.000604
14,1819.58,0.46371,0.47256,0.95011,0.95723,0.97376,0.98083,0.88745,0.48256,0.33254,0.84657,0.000571,0.000571,0.000571
15,1928.86,0.45498,0.46191,0.94739,0.96927,0.96485,0.98184,0.89425,0.46664,0.33475,0.84213,0.000538,0.000538,0.000538
16,2039.15,0.45327,0.46385,0.9458,0.97191,0.95982,0.98215,0.88667,0.47923,0.33879,0.83925,0.000505,0.000505,0.000505
17,2146.93,0.45528,0.46896,0.95125,0.96183,0.97369,0.98316,0.89131,0.46905,0.32497,0.83321,0.000472,0.000472,0.000472
18,2253.85,0.44781,0.45281,0.9478,0.96491,0.96412,0.98235,0.89283,0.46684,0.33132,0.83246,0.000439,0.000439,0.000439
19,2356.54,0.44998,0.45394,0.94614,0.96616,0.96791,0.9845,0.88628,0.47705,0.331,0.84905,0.000406,0.000406,0.000406
20,2459.6,0.4357,0.43211,0.93848,0.97244,0.96608,0.98205,0.89578,0.44908,0.32797,0.82803,0.000373,0.000373,0.000373
21,2581.18,0.41428,0.28849,0.88697,0.96278,0.96717,0.97937,0.89017,0.4554,0.32301,0.82322,0.00034,0.00034,0.00034
22,2682.37,0.40916,0.2774,0.88482,0.96713,0.97168,0.98307,0.89243,0.45542,0.31178,0.82466,0.000307,0.000307,0.000307
23,2784.05,0.39835,0.26812,0.87991,0.96987,0.96916,0.98301,0.89563,0.44195,0.30597,0.81478,0.000274,0.000274,0.000274
24,2885.61,0.39391,0.2638,0.88131,0.97918,0.95687,0.98057,0.89376,0.44609,0.31378,0.81567,0.000241,0.000241,0.000241
25,2986.59,0.38472,0.25593,0.87728,0.9673,0.97154,0.98165,0.89765,0.44085,0.30159,0.81665,0.000208,0.000208,0.000208
26,3088.44,0.38031,0.24755,0.87005,0.96635,0.9723,0.98097,0.89651,0.44701,0.31048,0.81917,0.000175,0.000175,0.000175
27,3189.11,0.37378,0.2429,0.8718,0.96926,0.9699,0.98117,0.89885,0.43538,0.30264,0.81531,0.000142,0.000142,0.000142
28,3290.91,0.37001,0.23761,0.87052,0.96856,0.97135,0.97953,0.89921,0.43008,0.2981,0.80979,0.000109,0.000109,0.000109
29,3392.4,0.36121,0.23179,0.86643,0.97096,0.9723,0.9814,0.89767,0.44061,0.30142,0.81371,7.6e-05,7.6e-05,7.6e-05
30,3493.84,0.35742,0.22789,0.86384,0.96847,0.97226,0.97984,0.90141,0.42713,0.29623,0.80908,4.3e-05,4.3e-05,4.3e-05
