epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.089,1.65998,1.02045,1.14569,0.96752,0.95904,0.97851,0.51468,1.21064,0.73966,0.84043,0.000333177,0.000333177,0.0670155
2,291.525,1.64047,0.97129,1.13028,0.91397,0.92862,0.96587,0.51919,1.17966,2.47736,0.83424,0.000644516,0.000644516,0.0339935
3,437.163,1.62418,0.94187,1.12435,0.9392,0.94356,0.97135,0.51472,1.20395,0.68585,0.83857,0.000933854,0.000933854,0.000949474
4,581.363,1.61558,0.93433,1.1198,0.94183,0.94785,0.97053,0.50265,1.23013,3.94971,0.84421,0.000901,0.000901,0.000901
5,726.847,1.61149,0.9146,1.11427,0.92746,0.95601,0.96849,0.52609,1.18068,3.84147,0.82921,0.000868,0.000868,0.000868
6,871.186,1.60175,0.88625,1.11751,0.97252,0.96346,0.97833,0.52836,1.19136,0.68059,0.83295,0.000835,0.000835,0.000835
7,1015.45,1.59168,0.87713,1.10949,0.9717,0.96508,0.97862,0.52802,1.19067,0.6612,0.83243,0.000802,0.000802,0.000802
8,1159.03,1.59257,0.87698,1.10581,0.97013,0.96024,0.97878,0.51777,1.212,0.61171,0.84086,0.000769,0.000769,0.000769
9,1303.19,1.57808,0.8524,1.10457,0.96568,0.96584,0.98355,0.52431,1.19847,0.57738,0.83446,0.000736,0.000736,0.000736
10,1448.05,1.56691,0.84991,1.10312,0.9791,0.96169,0.97954,0.52446,1.19808,0.62331,0.83637,0.000703,0.000703,0.000703
11,1592.36,1.57604,0.83212,1.09928,0.97573,0.96969,0.98071,0.53758,1.17486,0.82385,0.82718,0.00067,0.00067,0.00067
12,1736.66,1.55891,0.84204,1.09891,0.97637,0.97011,0.98475,0.54639,1.14969,0.62858,0.81583,0.000637,0.000637,0.000637
13,1880.91,1.54286,0.81368,1.0945,0.97466,0.97052,0.97986,0.52465,1.1953,0.68678,0.8355,0.000604,0.000604,0.000604
14,2024.19,1.54045,0.81693,1.08995,0.9749,0.96595,0.98216,0.53408,1.17322,0.6436,0.82545,0.000571,0.000571,0.000571
15,2168.57,1.52506,0.80183,1.08376,0.9727,0.96762,0.98407,0.54448,1.14824,0.79449,0.81669,0.000538,0.000538,0.000538
16,2312.75,1.51009,0.78968,1.08116,0.9749,0.9689,0.98437,0.54709,1.14993,0.52242,0.81326,0.000505,0.000505,0.000505
17,2457.04,1.50258,0.77868,1.07503,0.97263,0.9765,0.98548,0.54744,1.14853,0.53552,0.81349,0.000472,0.000472,0.000472
18,2601.45,1.51597,0.78643,1.08415,0.97711,0.97606,0.98439,0.5467,1.14367,0.50983,0.81252,0.000439,0.000439,0.000439
19,2745.62,1.4922,0.76354,1.07054,0.98054,0.97425,0.98355,0.55565,1.12452,0.49204,0.80792,0.000406,0.000406,0.000406
20,2889.38,1.48223,0.74375,1.06939,0.97843,0.97399,0.98679,0.55769,1.1216,0.51219,0.8071,0.000373,0.000373,0.000373
21,3040.69,1.43167,0.69334,1.06303,0.98054,0.97332,0.98497,0.55166,1.13202,0.57542,0.80853,0.00034,0.00034,0.00034
22,3185.14,1.41109,0.72432,1.05348,0.97963,0.97538,0.98597,0.56056,1.1203,0.48398,0.8041,0.000307,0.000307,0.000307
23,3328.97,1.39984,0.71435,1.04821,0.98131,0.97666,0.98457,0.55754,1.10988,0.48189,0.80305,0.000274,0.000274,0.000274
24,3473.01,1.37736,0.73699,1.04085,0.97785,0.97916,0.98615,0.56234,1.11237,0.48778,0.80445,0.000241,0.000241,0.000241
25,3617.28,1.37427,0.65573,1.04133,0.98046,0.97974,0.98602,0.56545,1.10156,0.51078,0.79981,0.000208,0.000208,0.000208
26,3760.07,1.36892,0.65364,1.0393,0.98269,0.97926,0.98956,0.57206,1.09904,0.54216,0.8,0.000175,0.000175,0.000175
27,3903.65,1.35175,0.64569,1.03303,0.98328,0.98012,0.98747,0.57046,1.09889,0.48679,0.79948,0.000142,0.000142,0.000142
28,4047.87,1.35192,0.63321,1.03074,0.98089,0.98191,0.98868,0.56641,1.09946,0.47943,0.79844,0.000109,0.000109,0.000109
29,4191.85,1.3277,0.60264,1.02758,0.98122,0.98112,0.98736,0.57025,1.0952,0.47568,0.79776,7.6e-05,7.6e-05,7.6e-05
30,4334.53,1.31719,0.63784,1.02056,0.98241,0.98228,0.98885,0.56916,1.09746,0.4933,0.79849,4.3e-05,4.3e-05,4.3e-05
