epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.485,2.32258,4.96721,1.40172,0.57132,0.61623,0.57843,0.25218,1.44853,14.595,0.93579,0.000333177,0.000333177,0.000333177
2,286.921,2.00437,2.3866,1.25686,0.6338,0.7772,0.72581,0.31393,1.40007,8.24083,0.93376,0.000653314,0.000653314,0.000653314
3,428.506,1.93635,1.80237,1.23003,0.70759,0.7917,0.79354,0.36502,1.34564,5.3729,0.90788,0.00096025,0.00096025,0.00096025
4,573.14,1.90289,1.63227,1.21864,0.7725,0.8055,0.85752,0.41201,1.31975,4.5447,0.89847,0.0009406,0.0009406,0.0009406
5,715.953,1.87219,1.49992,1.19962,0.78306,0.84113,0.87413,0.42121,1.3219,3.78355,0.89698,0.0009208,0.0009208,0.0009208
6,860.788,1.82697,1.36369,1.1728,0.84369,0.8446,0.90307,0.42743,1.30758,2.03669,0.88992,0.000901,0.000901,0.000901
7,1002.34,1.81545,1.3281,1.16614,0.91676,0.88771,0.93627,0.4487,1.32191,2.73713,0.89213,0.0008812,0.0008812,0.0008812
8,1143.06,1.78822,1.24747,1.15489,0.90292,0.87722,0.93632,0.46767,1.26699,1.12856,0.87017,0.0008614,0.0008614,0.0008614
9,1283.19,1.7754,1.25586,1.15358,0.88381,0.86437,0.92162,0.4584,1.27509,1.31773,0.87262,0.0008416,0.0008416,0.0008416
10,1423.45,1.77723,1.20187,1.14954,0.9062,0.87927,0.93934,0.47278,1.2644,1.74349,0.86642,0.0008218,0.0008218,0.0008218
11,1563.3,1.75335,1.17819,1.141,0.93843,0.92153,0.9544,0.48642,1.2515,1.09196,0.86168,0.000802,0.000802,0.000802
12,1702.79,1.74551,1.12012,1.13123,0.94404,0.92751,0.96213,0.4929,1.24653,0.94741,0.85813,0.0007822,0.0007822,0.0007822
13,1842.7,1.71548,1.09644,1.12252,0.96074,0.94691,0.96694,0.49091,1.24641,1.82952,0.85881,0.0007624,0.0007624,0.0007624
14,1983,1.72411,1.05793,1.12797,0.94298,0.93938,0.96516,0.49042,1.22841,0.90689,0.84802,0.0007426,0.0007426,0.0007426
15,2125.42,1.71317,1.06064,1.12012,0.9601,0.94371,0.96906,0.49402,1.24226,1.54619,0.85573,0.0007228,0.0007228,0.0007228
16,2265.75,1.70822,1.0153,1.11869,0.96579,0.95086,0.97177,0.50813,1.22131,0.85407,0.84844,0.000703,0.000703,0.000703
17,2406.92,1.69004,1.00475,1.10825,0.95766,0.94555,0.9749,0.50616,1.21438,1.04404,0.84307,0.0006832,0.0006832,0.0006832
18,2547.89,1.68708,0.97912,1.10718,0.96699,0.9463,0.97067,0.50399,1.22896,1.16451,0.84781,0.0006634,0.0006634,0.0006634
19,2687.92,1.66986,0.97873,1.09395,0.9551,0.94396,0.97179,0.50846,1.21387,0.75112,0.84146,0.0006436,0.0006436,0.0006436
20,2828.19,1.67049,0.94212,1.09873,0.96056,0.9599,0.97637,0.51256,1.20749,0.93628,0.84109,0.0006238,0.0006238,0.0006238
21,2968.64,1.65817,0.95167,1.09693,0.97143,0.96297,0.9759,0.51105,1.20398,0.94603,0.83739,0.000604,0.000604,0.000604
22,3108.85,1.64853,0.94377,1.09735,0.971,0.95504,0.97578,0.52305,1.19631,0.88852,0.8374,0.0005842,0.0005842,0.0005842
23,3248.97,1.6687,0.91794,1.10054,0.97553,0.96447,0.97884,0.52226,1.19615,0.89625,0.83382,0.0005644,0.0005644,0.0005644
24,3388.59,1.65578,0.89702,1.09764,0.96815,0.95974,0.97971,0.52208,1.20402,0.75293,0.83778,0.0005446,0.0005446,0.0005446
25,3528.39,1.64095,0.89919,1.09118,0.96928,0.95931,0.97898,0.52138,1.19687,0.86406,0.83331,0.0005248,0.0005248,0.0005248
26,3668.53,1.63635,0.88444,1.08799,0.9687,0.9732,0.98083,0.52557,1.19451,0.70034,0.83452,0.000505,0.000505,0.000505
27,3808.52,1.63975,0.88102,1.08776,0.97482,0.97235,0.98041,0.53239,1.17392,0.60879,0.82573,0.0004852,0.0004852,0.0004852
28,3951.7,1.6223,0.86432,1.08585,0.97287,0.96432,0.97971,0.5337,1.17296,0.65882,0.82419,0.0004654,0.0004654,0.0004654
29,4108.05,1.62951,0.85477,1.08852,0.98008,0.9635,0.98205,0.52957,1.17681,0.66677,0.82565,0.0004456,0.0004456,0.0004456
30,4249.84,1.61818,0.84263,1.07448,0.97557,0.96677,0.98323,0.53127,1.18612,0.89403,0.82838,0.0004258,0.0004258,0.0004258
31,4390.99,1.60787,0.82736,1.0758,0.97779,0.96916,0.98071,0.53346,1.17126,0.73126,0.82339,0.000406,0.000406,0.000406
32,4531.45,1.60034,0.83119,1.07925,0.97317,0.97332,0.98129,0.5375,1.16694,0.60379,0.82269,0.0003862,0.0003862,0.0003862
33,4671.69,1.60384,0.80803,1.079,0.97879,0.96556,0.98331,0.53881,1.16386,0.60531,0.82193,0.0003664,0.0003664,0.0003664
34,4811.6,1.58789,0.80498,1.06908,0.97355,0.97366,0.98193,0.53716,1.16663,0.59748,0.82173,0.0003466,0.0003466,0.0003466
35,4951.98,1.58447,0.78477,1.07111,0.97696,0.96881,0.98271,0.54255,1.16168,0.69773,0.81807,0.0003268,0.0003268,0.0003268
36,5091.57,1.56469,0.80527,1.06055,0.97793,0.97343,0.98406,0.54225,1.15938,0.59609,0.81867,0.000307,0.000307,0.000307
37,5231.19,1.56911,0.76869,1.06266,0.97939,0.97266,0.98098,0.53984,1.16104,0.5543,0.81868,0.0002872,0.0002872,0.0002872
38,5370.97,1.55542,0.76589,1.06212,0.9794,0.96714,0.98315,0.53658,1.16644,0.54262,0.82141,0.0002674,0.0002674,0.0002674
39,5510.92,1.55059,0.76856,1.05165,0.97689,0.9724,0.98196,0.54035,1.15139,0.54663,0.8161,0.0002476,0.0002476,0.0002476
40,5650.87,1.54194,0.75625,1.05943,0.97653,0.97407,0.98373,0.54496,1.15275,0.52628,0.81552,0.0002278,0.0002278,0.0002278
41,5798.35,1.52574,0.7873,1.08386,0.9779,0.96638,0.98353,0.53705,1.15688,0.70382,0.81592,0.000208,0.000208,0.000208
42,5937.62,1.5234,0.75247,1.07973,0.97465,0.9717,0.98435,0.5478,1.14048,0.6442,0.81203,0.0001882,0.0001882,0.0001882
43,6077.37,1.51238,0.77789,1.07383,0.9775,0.97133,0.98236,0.53708,1.15633,0.56414,0.81598,0.0001684,0.0001684,0.0001684
44,6216.79,1.50781,0.74078,1.07263,0.97813,0.97098,0.98483,0.54485,1.14861,0.6233,0.81307,0.0001486,0.0001486,0.0001486
45,6355.81,1.49764,0.76866,1.07258,0.97604,0.97585,0.98343,0.54217,1.15203,0.53023,0.81576,0.0001288,0.0001288,0.0001288
